Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cancer_Cell_Line_Encyclopedia	BT483 BREAST	18/203	2.262179e-12	1.877608e-09	0	0	1.048619e+01	2.811839e+02	PGLYRP2;ANKRD30A;GFRA1;GRPR;KCTD6;RERG;SERPINA5;BAIAP3;SCUBE2;NKAIN1;F7;KRT37;AGR3;TFF1;DEGS2;RGS11;FSIP1;SPDEF
Cancer_Cell_Line_Encyclopedia	HCC1500 BREAST	16/230	1.445256e-09	5.997811e-07	0	0	7.958553e+00	1.619962e+02	ANKRD30A;GP2;CYP4B1;GFRA1;GRPR;ABCC11;RERG;SERPINA5;SCUBE2;NKAIN1;INPP5J;AGR3;TFF1;DEGS2;FSIP1;SPDEF
Cancer_Cell_Line_Encyclopedia	SNU1214 UPPER AERODIGESTIVE TRACT	16/240	2.677032e-09	7.406456e-07	0	0	7.599379e+00	1.500008e+02	FGFBP1;PPP1R14C;TPRG1;BBOX1;KRT5;ACE2;KRT17;KRT16;TRIM29;KRT37;HAS3;FAT2;DSG1;PI3;PAMR1;TP63
Cancer_Cell_Line_Encyclopedia	CAL33 UPPER AERODIGESTIVE TRACT	13/172	1.958028e-08	3.018916e-06	0	0	8.587529e+00	1.524178e+02	GABRP;TPRG1;BBOX1;KRT5;LEMD1;CX3CL1;ACE2;RAB26;HAS3;FAT2;TP63;CLCA4;PLIN5
Cancer_Cell_Line_Encyclopedia	BT474 BREAST	14/206	2.135351e-08	3.018916e-06	0	0	7.686828e+00	1.357651e+02	ANKRD30A;CYP4B1;ABCC11;RYR3;F7;PTCHD1;RTN4RL1;STAC2;ERBB2;AGR3;TFF1;DEGS2;PRR11;SPDEF
Cancer_Cell_Line_Encyclopedia	MDAMB468 BREAST	11/115	2.182349e-08	3.018916e-06	0	0	1.102239e+01	1.944379e+02	WNT6;PTCHD1;KRT16;RARRES1;PADI2;CYP4B1;VGLL1;LEMD1;RERG;EGFR;SPDEF
Cancer_Cell_Line_Encyclopedia	CAMA1 BREAST	11/142	1.933807e-07	2.014715e-05	0	0	8.738600e+00	1.350866e+02	F7;PTCHD1;ANKRD30A;FABP7;INPP5J;CYP4B1;TFF1;DEGS2;DEFB132;ABCC11;SPDEF
Cancer_Cell_Line_Encyclopedia	HCC1428 BREAST	13/209	1.941894e-07	2.014715e-05	0	0	6.953290e+00	1.074592e+02	PGLYRP2;NXPH3;CYP4B1;GRPR;ABCC11;KCTD6;RERG;SCUBE2;NKAIN1;KRT37;TFF1;DEGS2;SPDEF
Cancer_Cell_Line_Encyclopedia	HCC2218 BREAST	13/245	1.185601e-06	1.093388e-04	0	0	5.863544e+00	8.000959e+01	GP2;ABCC11;SLC7A2;SCUBE2;LIPE;F7;BPIFB2;ERBB2;TFF1;DEGS2;RGS11;FSIP1;SPDEF
Cancer_Cell_Line_Encyclopedia	MDAMB415 BREAST	12/222	2.543012e-06	1.957116e-04	0	0	5.954407e+00	7.670564e+01	BPIFB2;ANKRD30A;PADI2;SOSTDC1;CYP4B1;DEGS2;GRPR;DEFB132;ABCC11;PAMR1;RERG;SPDEF
Cancer_Cell_Line_Encyclopedia	L33 PANCREAS	8/88	2.818226e-06	1.957116e-04	0	0	1.027083e+01	1.312551e+02	RARRES1;SOSTDC1;FAT2;KRT5;PI3;CXCL5;LEMD1;SLC7A2
