,gene_name
0,H3-5
1,OGDHL
2,RHBDL1
3,UCN2
4,TP53TG3E
5,ZNF598
6,BBS12
7,TLK2
8,CREB5
9,ARMCX3
10,LIPC
11,HOXB6
12,MRPL3
13,VLDLR
14,SLC25A18
15,MEAF6
16,BTNL9
17,PIFO
18,SLC6A5
19,IL25
20,TTLL1
21,CHMP2A
22,FBXO36
23,SLC22A8
24,CD22
25,CYP4A22
26,NPAS2
27,BARD1
28,NOL3
29,SLC50A1
30,LHX1
31,SYT17
32,CRBN
33,CYP11B1
34,KIAA0895L
35,TMEM252
36,UNC13B
37,ITFG2
38,FRZB
39,SPDYE21
40,ATP4B
41,RANBP9
42,RP11-235E17.2
43,PNMT
44,SKA2
45,C8orf44-SGK3
46,ATP23
47,COL5A3
48,ENTPD2
49,PPARGC1A
50,SLC9C1
51,BAG4
52,PCM1
53,SAR1A
54,FCGR2A
55,PLPP2
56,RPS6KA1
57,UACA
58,NOSIP
59,CTD-2515O10.6
60,FOXM1
61,TSKS
62,SPECC1L
63,KRTAP29-1
64,SCGB3A1
65,GAL3ST3
66,CD84
67,EFCC1
68,PRKCB
69,METTL22
70,L2HGDH
71,CXorf58
72,LAMTOR2
73,GALNT8
74,YIPF5
75,KCNQ5
76,CSNK1A1
77,SMIM27
78,CD46
79,ATP2B1
80,OR9Q1
81,MANBA
82,FGF16
83,ABCB8
84,POU6F2
85,ERICH2
86,SLC17A2
87,FRMD5
88,KLK14
89,LKAAEAR1
90,TGM2
91,SRPX
92,PUSL1
93,ELP3
94,PCNX3
95,KRT6A
96,TLE3
97,RAPSN
98,HYAL2
99,SLC22A15
100,OR2A1
101,KLRC2
102,TMED8
103,FRMPD4
104,ABRA
105,RP11-977G19.10
106,RABEP1
107,TACSTD2
108,ZNF709
109,LRRC73
110,OVCH1
111,DMWD
112,FGD3
113,NCR3LG1
114,ATP7B
115,ZBTB46
116,MBD2
117,PELO
118,SCRIB
119,DPEP2NB
120,MAGEB10
121,THSD7A
122,TRPM7
123,ARPIN-AP3S2
124,TIMELESS
125,RP11-446E24.4
126,TBC1D22B
127,POLD1
128,UPK3BL1
129,SMG9
130,NOXRED1
131,FCGR2B
132,PCDHGB6
133,TMEM125
134,GTSF1L
135,FADS2
136,PGAM2
137,CLEC20A
138,SHISA4
139,PROSER1
140,TAF1A
141,SLC25A15
142,RP11-403P17.5
143,PPP1R14A
144,PCDH15
145,ATP6V0D2
146,ASDURF
147,ABI2
148,ABCD4
149,GAGE2E
150,FN3KRP
151,SPAG5
152,SH3TC2
153,SMURF1
154,KLHL31
155,DCAF13
156,RABGAP1
157,GNB1
158,KLHL36
159,USP15
160,GOPC
161,CORO1B
162,SOGA3
163,SEC22A
164,BLOC1S5
165,MASP2
166,FAM167B
167,OR2T6
168,EXD2
169,NPIPA5
170,CCAR1
171,STRA8
172,OBI1
173,PM20D2
174,FAM135B
175,FNDC9
176,PRKCZ
177,FARS2
178,CAPN13
179,LGALS9C
180,VIP
181,KLHL28
182,CENPW
183,FATE1
184,LRRC17
185,CHMP1A
186,ZNF398
187,TIMM9
188,ZNF569
189,IRS2
190,H2AC18
191,TAS2R43
192,LRRC4
193,LYPD1
194,GALE
195,SPRY1
196,TRMU
197,DHRS4L2
198,DNAJC6
199,RPAP2
200,MARCHF2
201,GLT8D2
202,TRIML1
203,RPL7A
204,PPIL2
205,RWDD4
206,LCE4A
207,AGBL3
208,L3MBTL4
209,CCDC103
210,VSTM4
211,ZNF789
212,DCAF11
213,SCAMP5
214,EFHD2
215,PARP16
216,RP11-266K4.16
217,SLC7A14
218,KIF16B
219,H3Y1
220,APOO
221,SLC37A4
222,DBH
223,WASHC2C
224,RP5-967N21.13
225,ADAMTS20
226,ZNF287
227,SDR42E2
228,ZNF730
229,AFMID
230,NPPB
231,SH3GLB2
232,BAZ1A
233,RP11-2I7.1
234,SLC44A5
235,POLR2M
236,TMX4
237,SPDYE3
238,CEND1
239,HHLA2
240,HSPB11
241,NOBOX
242,STRADB
243,COPG2
244,OLFM3
245,RPS6KA6
246,PRPF18
247,RBM4B
248,C4orf50
249,LRRN3
250,ISG20L2
251,AKTIP
252,CPSF3
253,RPL27A
254,RP13-582O9.6
255,ZNF585A
256,CFAP410
257,TAS2R3
258,ATP11C
259,SLIT1
260,MPP4
261,EPPIN
262,AKAIN1
263,TAC1
264,KLK3
265,RING1
266,PPIB
267,LCE2A
268,SERPINI1
269,GPR173
270,OR2H2
271,SPRY2
272,HAPLN4
273,CWC15
274,MMRN1
275,MT1E
276,RP11-15H20.8
277,FAM246B
278,SLC30A10
279,FUS
280,BMP2K
281,TMEM160
282,ITGB5
283,ZNF85
284,UBE2G1
285,CCDC142
286,CHST4
287,LMCD1
288,CPLANE1
289,TLX1
290,IZUMO1
291,RHOB
292,XCL2
293,CRADD
294,WDR61
295,SYTL5
296,FSTL1
297,B3GALNT1
298,PRR20A
299,SCX
300,HACD2
301,TEX47
302,AC002310.11
303,ZNF248
304,PCGF5
305,PDCD11
306,ELAC2
307,CLCN4
308,METTL25
309,RBMY1B
310,HS3ST1
311,TMEM163
312,TSC22D3
313,SCN1A
314,RNF19A
315,C1GALT1C1
316,IZUMO2
317,ERC1
318,UCP3
319,RP11-766N7.5
320,ADAM11
321,SLC25A44
322,DCTN6
323,DDX60
324,ADAMTSL5
325,ATIC
326,CTNNA2
327,RSPH9
328,FFAR2
329,CTSC
330,LAGE3
331,ERMN
332,VRK3
333,LCE1B
334,APOL4
335,CFDP1
336,RTN4RL1
337,TRMT12
338,MAPK6
339,CTSZ
340,CIAO3
341,KRT84
342,NUP214
343,GSR
344,MRRF
345,NRSN2
346,ODAM
347,RP11-548K23.11
348,GAP43
349,PSMA8
350,PER1
351,ADRA2C
352,COMMD10
353,TRIQK
354,CCDC93
355,PPCDC
356,AP3S1
357,CECR2
358,PRSS16
359,CATSPERZ
360,JAK1
361,KIF5C
362,FIGLA
363,ZZEF1
364,MMP17
365,ATP1B2
366,MAGT1
367,STARD3NL
368,CD33
369,EIF4B
370,SEMA3A
371,OR10J1
372,ATG2B
373,RP5-1052I5.2
374,ACMSD
375,UCP1
376,PNMA1
377,TUT7
378,SP140
379,ADAM17
380,MCF2L2
381,CNGA1
382,TMEM120B
383,NUDT5
384,HADHA
385,POLR3GL
386,RP4-714D9.5
387,ZBTB25
388,RP11-775C24.6
389,TAF8
390,CCDC159
391,SLC52A1
392,PARVG
393,SNX32
394,RSPRY1
395,PLA2G1B
396,SNX11
397,SPATA24
398,ATG4C
399,ATG4D
400,MAP2K4
401,JOSD1
402,OR1N2
403,TBL2
404,SERPINA10
405,ZDHHC18
406,WDR64
407,NXF3
408,GOLGB1
409,EIF1
410,SMG1
411,CCDC81
412,PGM3
413,CHTOP
414,EXTL3
415,ERICH4
416,BICC1
417,TMEM187
418,COTL1
419,CA5A
420,H4C9
421,KHDC4
422,IQCM
423,KDM5B
424,SSU72P7
425,XIRP2
426,FAM187A
427,RP3-467D16.4
428,GP1BB
429,LMNA
430,ZPBP
431,ENG
432,KIAA1210
433,ZNF561
434,EIF4A2
435,HIPK4
436,SPDYA
437,CWF19L2
438,OR5I1
439,CPNE4
440,PKIA
441,GPR25
442,SPANXN1
443,CAMSAP2
444,MTCP1
445,FOXA3
446,LRRC69
447,OAS1
448,WBP1
449,FHL5
450,ATP5MG
451,CKAP4
452,LARP1B
453,POMP
454,KIAA1671
455,CEP43
456,MAGIX
457,NMNAT2
458,FOXRED1
459,TAF11L13
460,DCTN4
461,C1orf198
462,KNTC1
463,STAT5A
464,NLRC4
465,FLVCR2
466,LSMEM2
467,SH2D1A
468,HYDIN
469,SERPINB5
470,NWD2
471,GEMIN8
472,FYTTD1
473,MOB3C
474,RHPN1
475,MALT1
476,PDLIM4
477,NDUFAB1
478,BRD8
479,L3HYPDH
480,SNX12
481,RTL10
482,OR2T27
483,KRT5
484,HAUS6
485,AK5
486,CTC-251H24.14
487,LTBP4
488,BIRC6
489,ATP6V0A1
490,PTGR1
491,KRTAP9-4
492,FLACC1
493,SLC2A3
494,DPH6
495,SNRNP35
496,ULK4
497,OR2C1
498,LEPROTL1
499,SYNCRIP
500,HDAC7
501,HEYL
502,ELF2
503,FOXF2
504,TCEAL9
505,CSKMT
506,TCEAL2
507,P2RX4
508,ISX
509,RIMS1
510,SON
511,CD200
512,CTB-50L17.14
513,SLC22A24
514,USE1
515,NLRP3
516,WNT1
517,PVALEF
518,MYBPHL
519,KIF5B
520,DLG5
521,FAM160B1
522,CRY1
523,NDUFS5
524,MBD3L5
525,AP000721.4
526,FBXW10
527,C1orf100
528,AMOT
529,AKIP1
530,PFDN4
531,SLAMF6
532,ST20-MTHFS
533,LRRIQ1
534,CD226
535,RASD1
536,YRDC
537,ATG5
538,RAB8A
539,CCL15
540,ETAA1
541,YTHDF2
542,ZNF568
543,NEBL
544,OR2A25
545,TRIM16
546,SALL2
547,VASH2
548,NUDT21
549,SRSF7
550,KCNV2
551,ELMO1
552,ARL9
553,STMP1
554,FUT8
555,TBC1D3F
556,ACSL6
557,RP11-397E7.6
558,IL17F
559,ZNF799
560,RP11-397P13.9
561,A4GALT
562,HPS5
563,CXCL1
564,SLCO1A2
565,CTC-429P9.4
566,SLC16A1
567,TXN2
568,RPF1
569,ATP5MC2
570,GTF3C6
571,SDHC
572,FHL3
573,FOXD3
574,MMP2
575,CSTF1
576,DNM3
577,NOMO2
578,COX7C
579,GALNT14
580,SYNE4
581,PHGDH
582,MAPK15
583,HNRNPA2B1
584,OTOG
585,KRTAP1-5
586,KCNG3
587,SDF2L1
588,DENND6A
589,FAM95C
590,WDR35
591,SMIM3
592,ZNF625-ZNF20
593,THRB
594,HLCS
595,ATP13A3
596,RP5-877J2.1
597,NRG2
598,HCAR2
599,UBR5
600,SCYL1
601,HAPLN3
602,PFAS
603,FOXB1
604,RP11-162P23.2
605,GZMK
606,CDK13
607,HECW1
608,REV1
609,SNRPN
610,CCDC61
611,MYLK4
612,MMP12
613,ILVBL
614,OPN1MW3
615,FAM171A2
616,RASGEF1A
617,CEP112
618,GAGE12B
619,HERC4
620,FAM114A1
621,CCDC85A
622,ATXN7L3
623,SUMF1
624,PRRG2
625,RBBP9
626,CIR1
627,RAB5C
628,ADAT1
629,STX12
630,LYG2
631,MFSD3
632,LUC7L2
633,SYCP1
634,HTR4
635,BUB3
636,ALG10B
637,CYP4Z1
638,IL31RA
639,BTBD8
640,RP13-1032I1.10
641,COL6A1
642,ZNF564
643,MRPS23
644,SETD3
645,FXYD4
646,KATNAL2
647,POU4F1
648,HPRT1
649,HERC5
650,MRPS18A
651,EPS15L1
652,C11orf87
653,CTD-2192J16.22
654,XKR4
655,RAI1
656,DLGAP5
657,FAM72A
658,UNC79
659,LRRC74A
660,NUP54
661,MAGOH
662,FGFR1OP2
663,CARHSP1
664,RUBCN
665,SRP72
666,ARHGEF12
667,PIWIL4
668,GPRC5B
669,PPTC7
670,GPR22
671,DHRS12
672,VSTM1
673,CDK15
674,PRSS21
675,TLE7
676,GNAI1
677,KRTAP4-5
678,DNAJC17
679,DDX49
680,OR4F17
681,TLCD4
682,RRP1B
683,NDUFA4
684,RGS21
685,MMGT1
686,AMTN
687,ZNF467
688,PEF1
689,OPCML
690,H4-16
691,PCBP3
692,C3orf84
693,RAB29
694,FAM102B
695,PCDHGA8
696,WIPF3
697,H3-4
698,KRT75
699,MAP3K4
700,CAPZA2
701,S100A16
702,MTMR9
703,THOC5
704,NR3C1
705,TBC1D3E
706,S100G
707,RBBP6
708,LRFN1
709,CISD1
710,RP11-5A19.5
711,KIF25
712,DNTTIP2
713,AC009412.8
714,DCUN1D3
715,IL10
716,USP17L10
717,SMU1
718,HEATR9
719,OR2T33
720,PPP1R3D
721,AGXT
722,MIOS
723,F7
724,CNIH4
725,PRPF31
726,PPP1R21
727,NPTN
728,MIEF2
729,NOL11
730,TCEAL4
731,MED18
732,OVCA2
733,LRRC49
734,DNAJC18
735,RPS25
736,SLC25A37
737,CHST6
738,DDX39B
739,SNRPF
740,PAK5
741,CTC-554D6.1
742,PRMT8
743,CA13
744,ENTPD8
745,OR5L2
746,OOSP4A
747,MAP2
748,CTHRC1
749,AP1G1
750,F9
751,TRIM26
752,LRRC47
753,EXOSC6
754,OR56A1
755,CLBA1
756,MBD3L4
757,SHC1
758,VSTM2A
759,ATP6V0D1
760,SPANXA2
761,SERTAD4
762,CTSW
763,ITLN1
764,PDK2
765,BHLHB9
766,USP17L30
767,NCOA2
768,CXADR
769,ZGLP1
770,CADM2
771,RUNDC3B
772,SEMA3D
773,XPC
774,NTRK2
775,CYP4F11
776,KRTAP22-1
777,TBC1D16
778,BTBD11
779,CD302
780,ARL8A
781,TMEM169
782,ZNF316
783,ACTL8
784,IFITM5
785,XXbac-BPG32J3.22
786,RBPMS2
787,TPRG1L
788,GPR4
789,TMEM207
790,PRM1
791,PEX3
792,ARID1B
793,RP11-736I24.5
794,TIMP3
795,ANLN
796,TASP1
797,GCNA
798,MAX
799,TAX1BP1
800,PYCR3
801,USP45
802,HSPB1
803,SEC14L3
804,SLC25A1
805,CMTM2
806,SPAG7
807,RPS3
808,DOCK3
809,C11orf80
810,EDEM3
811,SYT12
812,SPATA17
813,SYNDIG1
814,MSRB3
815,DHX30
816,VPS11
817,TMEM230
818,DAZAP2
819,ZNF626
820,GATAD1
821,PLCD1
822,NXNL2
